name,type,catagory,power,accuracy,pp,effect
"10,000,000 Volt Thunderbolt",electric,special,195,none,1,none
Absorb,grass,special,20,100,25,none
Accelerock,rock,physical,40,100,20,none
Acid,poison,special,40,100,30,10
Acid Armor,poison,status,none,none,20,none
Acid Downpour,poison,none,none,none,1,none
Acid Spray,poison,special,40,100,20,100
Acrobatics,flying,physical,55,100,15,none
Acupressure,normal,status,none,none,30,none
Aerial Ace,flying,physical,60,∞,20,none
Aeroblast,flying,special,100,95,5,none
After You,normal,status,none,none,15,none
Agility,psychic,status,none,none,30,none
Air Cutter,flying,special,60,95,25,none
Air Slash,flying,special,75,95,15,30
All-Out Pummeling,fighting,none,none,none,1,none
Alluring Voice,fairy,special,80,100,10,none
Ally Switch,psychic,status,none,none,15,none
Amnesia,psychic,status,none,none,20,none
Anchor Shot,steel,physical,80,100,20,none
Ancient Power,rock,special,60,100,5,10
Apple Acid,grass,special,80,100,10,100
Aqua Cutter,water,physical,70,100,20,none
Aqua Jet,water,physical,40,100,20,none
Aqua Ring,water,status,none,none,20,none
Aqua Step,water,physical,80,100,10,100
Aqua Tail,water,physical,90,90,10,none
Arm Thrust,fighting,physical,15,100,20,none
Armor Cannon,fire,special,120,100,5,none
Aromatherapy,grass,status,none,none,5,none
Aromatic Mist,fairy,status,none,none,20,none
Assist,normal,status,none,none,20,none
Assurance,dark,physical,60,100,10,none
Astonish,ghost,physical,30,100,15,30
Astral Barrage,ghost,special,120,100,5,none
Attack Order,bug,physical,90,100,15,none
Attract,normal,status,none,100,15,none
Aura Sphere,fighting,special,80,∞,20,none
Aura Wheel,electric,physical,110,100,10,100
Aurora Beam,ice,special,65,100,20,10
Aurora Veil,ice,status,none,none,20,none
Autotomize,steel,status,none,none,15,none
Avalanche,ice,physical,60,100,10,none
Axe Kick,fighting,physical,120,90,10,none
Baby-Doll Eyes,fairy,status,none,100,30,none
Baddy Bad,dark,special,90,100,15,none
Baneful Bunker,poison,status,none,none,10,none
Barb Barrage,poison,physical,60,100,10,none
Barrage,normal,physical,15,85,20,none
Barrier,psychic,status,none,none,20,none
Baton Pass,normal,status,none,none,40,none
