Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP
#252,Treecko,['grass'],"['Overgrow', 'Unburden']",40,45,35,65,55,70
#253,Grovyle,['grass'],"['Overgrow', 'Unburden']",50,65,45,85,65,95
#254,Sceptile,['grass'],"['Overgrow', 'Unburden']",70,85,65,105,85,120
#255,Torchic,['fire'],"['Blaze', 'Speed Boost']",45,60,40,70,50,45
#256,Combusken,"['fire', 'fighting']","['Blaze', 'Speed Boost']",60,85,60,85,60,55
#257,Blaziken,"['fire', 'fighting']","['Blaze', 'Speed Boost']",80,120,70,110,70,80
#258,Mudkip,['water'],"['Torrent', 'Damp']",50,70,50,50,50,40
#259,Marshtomp,"['water', 'ground']","['Torrent', 'Damp']",70,85,70,60,70,50
#260,Swampert,"['water', 'ground']","['Torrent', 'Damp']",100,110,90,85,90,60
#261,Poochyena,['dark'],"['Run Away', 'Quick Feet', 'Rattled']",35,55,35,30,30,35
#262,Mightyena,['dark'],"['Intimidate', 'Quick Feet', 'Moxie']",70,90,70,60,60,70
#263,Zigzagoon,['normal'],"['Pickup', 'Gluttony', 'Quick Feet']",38,30,41,30,41,60
#264,Linoone,['normal'],"['Pickup', 'Gluttony', 'Quick Feet']",78,70,61,50,61,100
#265,Wurmple,['bug'],"['Shield Dust', 'Run Away']",45,45,35,20,30,20
#266,Silcoon,['bug'],['Shed Skin'],50,35,55,25,25,15
#267,Beautifly,"['bug', 'flying']","['Swarm', 'Rivalry']",60,70,50,100,50,65
#268,Cascoon,['bug'],['Shed Skin'],50,35,55,25,25,15
#269,Dustox,"['bug', 'poison']","['Shield Dust', 'Compoundeyes']",60,50,70,50,90,65
#270,Lotad,"['water', 'grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",40,30,30,40,50,30
#271,Lombre,"['water', 'grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",60,50,50,60,70,50
#272,Ludicolo,"['water', 'grass']","['Swift Swim', 'Rain Dish', 'Own Tempo']",80,70,70,90,100,70
#273,Seedot,['grass'],"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,40,50,30,30,30
#274,Nuzleaf,"['grass', 'dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']",70,70,40,60,40,60
#275,Shiftry,"['grass', 'dark']","['Chlorophyll', 'Early Bird', 'Pickpocket']",90,100,60,90,60,80
#276,Taillow,"['normal', 'flying']","['Guts', 'Scrappy']",40,55,30,30,30,85
#277,Swellow,"['normal', 'flying']","['Guts', 'Scrappy']",60,85,60,75,50,125
#278,Wingull,"['water', 'flying']","['Keen Eye', 'Hydration', 'Rain Dish']",40,30,30,55,30,85
#279,Pelipper,"['water', 'flying']","['Keen Eye', 'Drizzle', 'Rain Dish']",60,50,100,95,70,65
#280,Ralts,"['psychic', 'fairy']","['Synchronize', 'Trace', 'Telepathy']",28,25,25,45,35,40
#281,Kirlia,"['psychic', 'fairy']","['Synchronize', 'Trace', 'Telepathy']",38,35,35,65,55,50
#282,Gardevoir,"['psychic', 'fairy']","['Synchronize', 'Trace', 'Telepathy']",68,65,65,125,115,80
#283,Surskit,"['bug', 'water']","['Swift Swim', 'Rain Dish']",40,30,32,50,52,65
#284,Masquerain,"['bug', 'flying']","['Intimidate', 'Unnerve']",70,60,62,100,82,80
#285,Shroomish,['grass'],"['Effect Spore', 'Poison Heal', 'Quick Feet']",60,40,60,40,60,35
#286,Breloom,"['grass', 'fighting']","['Effect Spore', 'Poison Heal', 'Technician']",60,130,80,60,60,70
#287,Slakoth,['normal'],['Truant'],60,60,60,35,35,30
#288,Vigoroth,['normal'],['Vital Spirit'],80,80,80,55,55,90
#289,Slaking,['normal'],['Truant'],150,160,100,95,65,100
#290,Nincada,"['bug', 'ground']","['Compoundeyes', 'Run Away']",31,45,90,30,30,40
#291,Ninjask,"['bug', 'flying']","['Speed Boost', 'Infiltrator']",61,90,45,50,50,160
#292,Shedinja,"['bug', 'ghost']",['Wonder Guard'],1,90,45,30,30,40
#293,Whismur,['normal'],"['Soundproof', 'Rattled']",64,51,23,51,23,28
#294,Loudred,['normal'],"['Soundproof', 'Scrappy']",84,71,43,71,43,48
#295,Exploud,['normal'],"['Soundproof', 'Scrappy']",104,91,63,91,73,68
#296,Makuhita,['fighting'],"['Thick Fat', 'Guts', 'Sheer Force']",72,60,30,20,30,25
#297,Hariyama,['fighting'],"['Thick Fat', 'Guts', 'Sheer Force']",144,120,60,40,60,50
#298,Azurill,"['normal', 'fairy']","['Thick Fat', 'Huge Power', 'Sap Sipper']",50,20,40,20,40,20
#299,Nosepass,['rock'],"['Sturdy', 'Magnet Pull', 'Sand Force']",30,45,135,45,90,30
#300,Skitty,['normal'],"['Cute Charm', 'Normalize', 'Wonder Skin ']",50,45,45,35,35,50
#301,Delcatty,['normal'],"['Cute Charm', 'Normalize', 'Wonder Skin ']",70,65,65,55,55,90
#302,Sableye,"['dark', 'ghost']","['Keen Eye', 'Stall', 'Prankster']",50,75,75,65,65,50
#303,Mawile,"['steel', 'fairy']","['Hyper Cutter', 'Intimidate', 'Sheer Force']",50,85,85,55,55,50
#304,Aron,"['steel', 'rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",50,70,100,40,40,30
#305,Lairon,"['steel', 'rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",60,90,140,50,50,40
#306,Aggron,"['steel', 'rock']","['Sturdy', 'Rock Head', 'Heavy Metal']",70,110,180,60,60,50
#307,Meditite,"['fighting', 'psychic']","['Pure Power', 'Telepathy']",30,40,55,40,55,60
#308,Medicham,"['fighting', 'psychic']","['Pure Power', 'Telepathy']",60,60,75,60,75,80
#309,Electrike,['electric'],"['Static', 'Lightning Rod', 'Minus']",40,45,40,65,40,65
#310,Manectric,['electric'],"['Static', 'Lightning Rod', 'Minus']",70,75,60,105,60,105
#311,Plusle,['electric'],"['Plus', 'Lightning Rod']",60,50,40,85,75,95
#312,Minun,['electric'],"['Minus', 'Volt Absorb']",60,40,50,75,85,95
#313,Volbeat,['bug'],"['Illuminate', 'Swarm', 'Prankster']",65,73,75,47,85,85
