Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP
#152,Chikorita,['grass'],"['Overgrow', 'Leaf Guard']",45,49,65,49,65,45
#153,Bayleef,['grass'],"['Overgrow', 'Leaf Guard']",60,62,80,63,80,60
#154,Meganium,['grass'],"['Overgrow', 'Leaf Guard']",80,82,100,83,100,80
#155,Cyndaquil,['fire'],"['Blaze', 'Flash Fire']",39,52,43,60,50,65
#156,Quilava,['fire'],"['Blaze', 'Flash Fire']",58,64,58,80,65,80
#157,Typhlosion,['fire'],"['Blaze', 'Flash Fire']",78,84,78,109,85,100
#158,Totodile,['water'],"['Torrent', 'Sheer Force']",50,65,64,44,48,43
#159,Croconaw,['water'],"['Torrent', 'Sheer Force']",65,80,80,59,63,58
#160,Feraligatr,['water'],"['Torrent', 'Sheer Force']",85,105,100,79,83,78
#161,Sentret,['normal'],"['Run Away', 'Keen Eye', 'Frisk']",35,46,34,35,45,20
#162,Furret,['normal'],"['Run Away', 'Keen Eye', 'Frisk']",85,76,64,45,55,90
#163,Hoothoot,"['normal', 'flying']","['Insomnia', 'Keen Eye', 'Tinted Lens']",60,30,30,36,56,50
#164,Noctowl,"['normal', 'flying']","['Insomnia', 'Keen Eye', 'Tinted Lens']",100,50,50,86,96,70
#165,Ledyba,"['bug', 'flying']","['Swarm', 'Early Bird', 'Rattled']",40,20,30,40,80,55
#166,Ledian,"['bug', 'flying']","['Swarm', 'Early Bird', 'Iron Fist']",55,35,50,55,110,85
#167,Spinarak,"['bug', 'poison']","['Swarm', 'Insomnia', 'Sniper']",40,60,40,40,40,30
#168,Ariados,"['bug', 'poison']","['Swarm', 'Insomnia', 'Sniper']",70,90,70,60,70,40
#169,Crobat,"['poison', 'flying']","['Inner Focus', 'Infiltrator']",85,90,80,70,80,130
#170,Chinchou,"['water', 'electric']","['Volt Absorb', 'Illuminate', 'Water Absorb']",75,38,38,56,56,67
#171,Lanturn,"['water', 'electric']","['Volt Absorb', 'Illuminate', 'Water Absorb']",125,58,58,76,76,67
#172,Pichu,['electric'],"['Static', 'Lightning Rod']",20,40,15,35,35,60
