Dex Num,Name,Good against (att),Not good against (att),SE damage from,NVE damage from
#001,Bulbasaur,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#002,Ivysaur,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#003,Venusaur,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#004,Charmander,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#005,Charmeleon,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#006,Charizard,"['grass', 'ice', 'fighting', 'bug']","['fire', 'water', 'electric', 'rock', 'dragon']","['water', 'electric', 'rock']","['fire', 'grass', 'fighting', 'ground', 'bug', 'steel']"
#007,Squirtle,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#008,Wartortle,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#009,Blastoise,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#010,Caterpie,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']","['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']"
#011,Metapod,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']","['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'flying', 'ghost', 'steel', 'fairy']"
#012,Butterfree,"['grass', 'psychic', 'bug', 'dark']","['fire', 'electric', 'poison', 'flying', 'rock', 'ghost', 'steel', 'fairy']","['fire', 'electric', 'ice', 'flying', 'rock']","['grass', 'fighting', 'ground', 'bug']"
#013,Weedle,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'ground', 'flying', 'rock', 'ghost', 'steel']","['fire', 'flying', 'psychic', 'rock']","['grass', 'fighting', 'poison', 'bug', 'fairy']"
#014,Kakuna,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'ground', 'flying', 'rock', 'ghost', 'steel']","['fire', 'flying', 'psychic', 'rock']","['grass', 'fighting', 'poison', 'bug', 'fairy']"
#015,Beedrill,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'ground', 'flying', 'rock', 'ghost', 'steel']","['fire', 'flying', 'psychic', 'rock']","['grass', 'fighting', 'poison', 'bug', 'fairy']"
#016,Pidgey,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#017,Pidgeotto,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#018,Pidgeot,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#019,Rattata,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#020,Raticate,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#021,Spearow,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#022,Fearow,"['grass', 'fighting', 'bug']","['electric', 'rock', 'ghost', 'steel']","['electric', 'ice', 'rock']","['grass', 'ground', 'bug', 'ghost', 'fairy']"
#023,Ekans,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#024,Arbok,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#025,Pikachu,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#026,Raichu,"['water', 'flying']","['electric', 'grass', 'ground', 'dragon']","['water', 'flying']","['electric', 'grass', 'ground', 'dragon']"
#027,Sandshrew,"['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']","['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']"
#028,Sandslash,"['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']","['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']"
#029,Nidoran♀,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#030,Nidorina,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#031,Nidoqueen,"['fire', 'electric', 'fairy']","['ground', 'flying', 'bug', 'ghost', 'steel']","['water', 'ice', 'ground', 'psychic']","['electric', 'fighting', 'poison', 'bug', 'rock', 'fairy']"
#032,Nidoran♂,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#033,Nidorino,"['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']","['grass', 'fairy']","['poison', 'ground', 'rock', 'ghost', 'steel']"
#034,Nidoking,"['fire', 'electric', 'fairy']","['ground', 'flying', 'bug', 'ghost', 'steel']","['water', 'ice', 'ground', 'psychic']","['electric', 'fighting', 'poison', 'bug', 'rock', 'fairy']"
#035,Clefairy,"['fighting', 'dragon', 'dark']","['normal', 'poison', 'steel']","['fighting', 'dragon', 'dark']","['normal', 'poison', 'steel']"
#036,Clefable,"['fighting', 'dragon', 'dark']","['normal', 'poison', 'steel']","['fighting', 'dragon', 'dark']","['normal', 'poison', 'steel']"
#037,Vulpix,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#038,Ninetales,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#039,Jigglypuff,"['fighting', 'dragon', 'dark']","['normal', 'poison', 'rock', 'ghost', 'steel']","['poison', 'steel']","['bug', 'ghost', 'dragon', 'dark', 'fairy']"
#040,Wigglytuff,"['fighting', 'dragon', 'dark']","['normal', 'poison', 'rock', 'ghost', 'steel']","['poison', 'steel']","['bug', 'ghost', 'dragon', 'dark', 'fairy']"
#041,Zubat,"['grass', 'fighting', 'bug', 'fairy']","['electric', 'poison', 'ground', 'rock', 'ghost', 'steel']","['electric', 'ice', 'psychic', 'rock']","['grass', 'fighting', 'poison', 'ground', 'bug', 'fairy']"
#042,Golbat,"['grass', 'fighting', 'bug', 'fairy']","['electric', 'poison', 'ground', 'rock', 'ghost', 'steel']","['electric', 'ice', 'psychic', 'rock']","['grass', 'fighting', 'poison', 'ground', 'bug', 'fairy']"
#043,Oddish,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#044,Gloom,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#045,Vileplume,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
#046,Paras,"['water', 'ground', 'psychic', 'rock', 'dark']","['fire', 'fighting', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel', 'fairy']","['fire', 'ice', 'poison', 'flying', 'bug', 'rock']","['water', 'electric', 'grass', 'fighting', 'ground']"
#047,Parasect,"['water', 'ground', 'psychic', 'rock', 'dark']","['fire', 'fighting', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel', 'fairy']","['fire', 'ice', 'poison', 'flying', 'bug', 'rock']","['water', 'electric', 'grass', 'fighting', 'ground']"
#048,Venonat,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'ground', 'flying', 'rock', 'ghost', 'steel']","['fire', 'flying', 'psychic', 'rock']","['grass', 'fighting', 'poison', 'bug', 'fairy']"
#049,Venomoth,"['grass', 'psychic', 'dark']","['fire', 'fighting', 'poison', 'ground', 'flying', 'rock', 'ghost', 'steel']","['fire', 'flying', 'psychic', 'rock']","['grass', 'fighting', 'poison', 'bug', 'fairy']"
#050,Diglett,"['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']","['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']"
#051,Dugtrio,"['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']","['fire', 'electric', 'poison', 'rock', 'steel']","['grass', 'flying', 'bug']"
#052,Meowth,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#053,Persian,[],"['rock', 'ghost', 'steel']",[],"['rock', 'ghost', 'steel']"
#054,Psyduck,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#055,Golduck,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#056,Mankey,"['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']","['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']"
#057,Primeape,"['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']","['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']"
#058,Growlithe,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#059,Arcanine,"['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']","['grass', 'ice', 'bug', 'steel']","['fire', 'water', 'rock', 'dragon']"
#060,Poliwag,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#061,Poliwhirl,"['fire', 'ground', 'rock']","['water', 'grass', 'dragon']","['fire', 'ground', 'rock']","['water', 'grass', 'dragon']"
#062,Poliwrath,"['normal', 'fire', 'ice', 'ground', 'rock', 'dark', 'steel']","['water', 'grass', 'poison', 'flying', 'psychic', 'bug', 'ghost', 'dragon', 'fairy']","['electric', 'grass', 'flying', 'psychic', 'fairy']","['fire', 'water', 'ice', 'bug', 'rock', 'dark', 'steel']"
#063,Abra,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#064,Kadabra,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#065,Alakazam,"['fighting', 'poison']","['psychic', 'dark', 'steel']","['fighting', 'poison']","['psychic', 'dark', 'steel']"
#066,Machop,"['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']","['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']"
#067,Machoke,"['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']","['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']"
#068,Machamp,"['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']","['normal', 'ice', 'rock', 'dark', 'steel']","['poison', 'flying', 'psychic', 'bug', 'ghost', 'fairy']"
#069,Bellsprout,"['water', 'fairy']","['fire', 'poison', 'flying', 'bug', 'ghost', 'dragon', 'steel']","['fire', 'ice', 'flying', 'psychic']","['water', 'electric', 'grass', 'fighting', 'fairy']"
