Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg
#001,Snom,[],"['', '']",30,25,35,45,30,20,[],[],[],[],185,30
#002,Frosmoth,[],"['', '']",70,65,60,125,90,65,[],[],[],[],475,79
#003,Wooloo,[],[''],42,40,55,40,45,48,[],[],[],[],270,45
#004,Dubwool,[],[''],72,80,100,60,90,88,[],[],[],[],490,81
#005,Skwovet,[],[''],70,55,55,35,35,25,[],[],[],[],275,45
#006,Greedent,[],[''],120,95,95,55,75,20,[],[],[],[],460,76
#007,Swinub,[],"['', '']",50,50,40,30,30,50,[],[],[],[],250,41
#008,Piloswine,[],"['', '']",100,100,80,60,60,50,[],[],[],[],450,75
#009,Mamoswine,[],"['', '']",110,130,80,70,60,80,[],[],[],[],530,88
#010,Mime Jr.,[],"['', '']",20,25,45,70,90,60,[],[],[],[],310,51
#011,Mr. Mime,[],"['', '']",50,65,65,90,90,100,[],[],[],[],460,76
#012,Mr. Rime,[],"['', '']",80,85,75,110,100,70,[],[],[],[],520,86
#013,Smoochum,[],"['', '']",45,30,15,85,65,65,[],[],[],[],305,50
#014,Jynx,[],"['', '']",65,50,35,115,95,95,[],[],[],[],455,75
#015,Elekid,[],[''],45,63,37,65,55,95,[],[],[],[],360,60
#016,Electabuzz,[],[''],65,83,57,95,85,105,[],[],[],[],490,81
#017,Electivire,[],[''],75,123,67,95,85,95,[],[],[],[],540,90
#018,Magby,[],[''],45,75,37,70,55,83,[],[],[],[],365,60
#019,Magmar,[],[''],65,95,57,100,85,93,[],[],[],[],495,82
#020,Magmortar,[],[''],75,95,67,125,95,83,[],[],[],[],540,90
#021,Audino,[],[''],103,60,86,60,86,50,[],[],[],[],445,74
#022,Vanillite,[],[''],36,50,50,65,60,44,[],[],[],[],305,50
#023,Vanillish,[],[''],51,65,65,80,75,59,[],[],[],[],395,65
#024,Vanilluxe,[],[''],71,95,85,110,95,79,[],[],[],[],535,89
#025,Snorunt,[],[''],50,50,50,50,50,50,[],[],[],[],300,50
#026,Glalie,[],[''],80,80,80,80,80,80,[],[],[],[],480,80
#027,Froslass,[],"['', '']",70,80,70,80,70,110,[],[],[],[],480,80
#028,Sneasel,[],"['', '']",55,95,55,35,75,115,[],[],[],[],430,71
#029,Weavile,[],"['', '']",70,120,65,45,85,125,[],[],[],[],510,85
#030,Cryogonal,[],[''],80,50,50,95,135,105,[],[],[],[],515,85
#031,Snover,[],"['', '']",60,62,50,62,60,40,[],[],[],[],334,55
#032,Abomasnow,[],"['', '']",90,92,75,92,85,60,[],[],[],[],494,82
#033,Phantump,[],"['', '']",43,70,48,50,60,38,[],[],[],[],309,51
#034,Trevenant,[],"['', '']",85,110,76,65,82,56,[],[],[],[],474,79
#035,Swablu,[],"['', '']",45,40,60,40,75,50,[],[],[],[],310,51
#036,Altaria,[],"['', '']",75,70,90,70,105,80,[],[],[],[],490,81
#037,Impidimp,[],"['', '']",45,45,30,55,40,50,[],[],[],[],265,44
#038,Morgrem,[],"['', '']",65,60,45,75,55,70,[],[],[],[],370,61
#039,Grimmsnarl,[],"['', '']",95,120,65,95,75,60,[],[],[],[],510,85
#040,Hatenna,[],[''],42,30,45,56,53,39,[],[],[],[],265,44
#041,Hattrem,[],[''],57,40,65,86,73,49,[],[],[],[],370,61
#042,Hatterene,[],"['', '']",57,90,95,136,103,29,[],[],[],[],510,85
#043,Cleffa,[],[''],50,25,28,45,55,15,[],[],[],[],218,36
#044,Clefairy,[],[''],70,45,48,60,65,35,[],[],[],[],323,53
#045,Clefable,[],[''],95,70,73,95,90,60,[],[],[],[],483,80
#046,Mimikyu,[],"['', '']",55,90,80,50,105,96,[],[],[],[],476,79
#047,Spiritomb,[],"['', '']",50,92,108,92,108,35,[],[],[],[],485,80
#048,Litwick,[],"['', '']",50,30,55,65,55,20,[],[],[],[],275,45
#049,Lampent,[],"['', '']",60,40,60,95,60,55,[],[],[],[],370,61
#050,Chandelure,[],"['', '']",60,55,90,145,90,80,[],[],[],[],520,86
#051,Gothita,[],[''],45,30,50,55,65,45,[],[],[],[],290,48
#052,Gothorita,[],[''],60,45,70,75,85,55,[],[],[],[],390,65
#053,Gothitelle,[],[''],70,55,95,95,110,65,[],[],[],[],490,81
#054,Solosis,[],[''],45,30,40,105,50,20,[],[],[],[],290,48
#055,Duosion,[],[''],65,40,50,125,60,30,[],[],[],[],370,61
#056,Reuniclus,[],[''],110,65,75,125,85,30,[],[],[],[],490,81
#057,Timburr,[],[''],75,80,55,25,35,35,[],[],[],[],305,50
