Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg
#0387,Turtwig,['grass'],"['Overgrow', 'Shell Armor']",55,68,64,45,55,31,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",318,53
#0388,Grotle,['grass'],"['Overgrow', 'Shell Armor']",75,89,85,55,65,36,"['ground', 'rock', 'water']","['flying', 'poison', 'bug', 'steel', 'fire', 'grass', 'dragon']","['ground', 'water', 'grass', 'electric']","['flying', 'poison', 'bug', 'fire', 'ice']",405,67
#0389,Torterra,"['grass', 'ground']","['Overgrow', 'Shell Armor']",95,109,105,75,85,56,"['ground', 'rock', 'water', 'electric']","['flying', 'bug', 'grass', 'dragon']","['ground', 'rock', 'electric']","['flying', 'bug', 'fire', 'ice']",525,87
#0390,Chimchar,['fire'],"['Blaze', 'Iron Fist']",44,58,44,58,44,61,"['bug', 'steel', 'grass', 'ice']","['rock', 'fire', 'water', 'dragon']","['bug', 'steel', 'fire', 'grass', 'ice', 'fairy']","['ground', 'rock', 'water']",309,51
#0391,Monferno,"['fire', 'fighting']","['Blaze', 'Iron Fist']",64,78,52,78,52,81,"['normal', 'steel', 'grass', 'ice', 'dark']","['flying', 'poison', 'ghost', 'fire', 'water', 'psychic', 'dragon', 'fairy']","['bug', 'steel', 'fire', 'grass', 'ice', 'dark']","['flying', 'ground', 'water', 'psychic']",405,67
#0392,Infernape,"['fire', 'fighting']","['Blaze', 'Iron Fist']",76,104,71,104,71,108,"['normal', 'steel', 'grass', 'ice', 'dark']","['flying', 'poison', 'ghost', 'fire', 'water', 'psychic', 'dragon', 'fairy']","['bug', 'steel', 'fire', 'grass', 'ice', 'dark']","['flying', 'ground', 'water', 'psychic']",534,89
#0393,Piplup,['water'],"['Torrent', 'Competitive']",53,51,53,61,56,40,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",314,52
#0394,Prinplup,['water'],"['Torrent', 'Competitive']",64,66,68,81,76,50,"['ground', 'rock', 'fire']","['water', 'grass', 'dragon']","['steel', 'fire', 'water', 'ice']","['grass', 'electric']",405,67
#0395,Empoleon,"['water', 'steel']","['Torrent', 'Competitive']",84,86,88,111,101,60,"['ground', 'rock', 'ice', 'fairy']","['steel', 'water', 'grass', 'electric', 'dragon']","['normal', 'flying', 'poison', 'rock', 'bug', 'steel', 'water', 'psychic', 'ice', 'dragon', 'fairy']","['fighting', 'ground', 'electric']",530,88
#0396,Starly,"['normal', 'flying']","['Keen Eye', 'Reckless']",40,55,30,30,30,60,"['fighting', 'bug', 'grass']","['rock', 'ghost', 'steel', 'electric']","['ground', 'bug', 'ghost', 'grass']","['rock', 'electric', 'ice']",245,40
