Dex,Name,Type,Abilities,HP,A,D,SA,SD,SP,Strong Against,Weak Against,Resistant To,Vulnerable To,base stat total,base stat avg
#001,Slowpoke,[],[''],90,65,65,40,40,15,[],[],[],[],315,52
#002,Slowbro,[],"['', '']",95,100,95,100,70,30,[],[],[],[],490,81
#003,Slowking,[],"['', '']",95,65,80,110,110,30,[],[],[],[],490,81
#004,Buneary,[],[''],55,66,44,44,56,85,[],[],[],[],350,58
#005,Lopunny,[],[''],65,76,84,54,96,105,[],[],[],[],480,80
#006,Happiny,[],[''],100,5,5,15,65,30,[],[],[],[],220,36
#007,Chansey,[],[''],250,5,5,35,105,50,[],[],[],[],450,75
#008,Blissey,[],[''],255,10,10,75,135,55,[],[],[],[],540,90
#009,Skwovet,[],[''],70,55,55,35,35,25,[],[],[],[],275,45
#010,Greedent,[],[''],120,95,95,55,75,20,[],[],[],[],460,76
#011,Igglybuff,[],"['', '']",90,30,15,40,20,15,[],[],[],[],210,35
#012,Jigglypuff,[],"['', '']",115,45,20,45,25,20,[],[],[],[],270,45
#013,Wigglytuff,[],"['', '']",140,70,45,85,50,45,[],[],[],[],435,72
#014,Blipbug,[],[''],25,20,20,25,45,45,[],[],[],[],180,30
#015,Dottler,[],"['', '']",50,35,80,50,90,30,[],[],[],[],335,55
#016,Orbeetle,[],"['', '']",60,45,110,80,120,90,[],[],[],[],505,84
#017,Fomantis,[],[''],40,55,35,50,35,35,[],[],[],[],250,41
#018,Lurantis,[],[''],70,105,90,80,90,45,[],[],[],[],480,80
#019,Applin,[],"['', '']",40,40,80,40,40,20,[],[],[],[],260,43
#020,Flapple,[],"['', '']",70,110,80,95,60,70,[],[],[],[],485,80
#021,Appletun,[],"['', '']",110,85,80,100,80,30,[],[],[],[],485,80
#022,Fletchling,[],"['', '']",45,50,43,40,38,62,[],[],[],[],278,46
#023,Fletchinder,[],"['', '']",62,73,55,56,52,84,[],[],[],[],382,63
#024,Talonflame,[],"['', '']",78,81,71,74,69,126,[],[],[],[],499,83
#025,Shinx,[],[''],45,65,34,40,34,45,[],[],[],[],263,43
#026,Luxio,[],[''],60,85,49,60,49,60,[],[],[],[],363,60
#027,Luxray,[],[''],80,120,79,95,79,70,[],[],[],[],523,87
#028,Klefki,[],"['', '']",57,80,91,80,87,75,[],[],[],[],470,78
#029,Pawniard,[],"['', '']",45,85,70,40,40,60,[],[],[],[],340,56
#030,Bisharp,[],"['', '']",65,125,100,60,70,70,[],[],[],[],490,81
#031,Abra,[],[''],25,20,15,105,55,90,[],[],[],[],310,51
#032,Kadabra,[],[''],40,35,30,120,70,105,[],[],[],[],400,66
#033,Alakazam,[],[''],55,50,45,135,95,120,[],[],[],[],500,83
#034,Ralts,[],"['', '']",28,25,25,45,35,40,[],[],[],[],198,33
#035,Kirlia,[],"['', '']",38,35,35,65,55,50,[],[],[],[],278,46
#036,Gardevoir,[],"['', '']",68,65,65,125,115,80,[],[],[],[],518,86
#037,Gallade,[],"['', '']",68,125,65,65,115,80,[],[],[],[],518,86
#038,Krabby,[],[''],30,105,90,25,25,50,[],[],[],[],325,54
#039,Kingler,[],[''],55,130,115,50,50,75,[],[],[],[],475,79
#040,Tentacool,[],"['', '']",40,40,35,50,100,70,[],[],[],[],335,55
#041,Tentacruel,[],"['', '']",80,70,65,80,120,100,[],[],[],[],515,85
#042,Magikarp,[],[''],20,10,55,15,20,80,[],[],[],[],200,33
#043,Gyarados,[],"['', '']",95,125,79,60,100,81,[],[],[],[],540,90
#044,Remoraid,[],[''],35,65,35,65,35,65,[],[],[],[],300,50
#045,Octillery,[],[''],75,105,75,105,75,45,[],[],[],[],480,80
#046,Mantyke,[],"['', '']",45,20,50,60,120,50,[],[],[],[],345,57
#047,Mantine,[],"['', '']",85,40,70,80,140,70,[],[],[],[],485,80
#048,Wingull,[],"['', '']",40,30,30,55,30,85,[],[],[],[],270,45
#049,Pelipper,[],"['', '']",60,50,100,95,70,65,[],[],[],[],440,73
#050,Skorupi,[],"['', '']",40,50,90,30,55,65,[],[],[],[],330,55
#051,Drapion,[],"['', '']",70,90,110,60,75,95,[],[],[],[],500,83
#052,Dunsparce,[],[''],100,70,70,65,65,45,[],[],[],[],415,69
#053,Bouffalant,[],[''],95,110,95,40,95,55,[],[],[],[],490,81
#054,Lickitung,[],[''],90,55,75,60,75,30,[],[],[],[],385,64
#055,Lickilicky,[],[''],110,85,95,80,95,50,[],[],[],[],515,85
#056,Chewtle,[],[''],50,64,50,38,38,44,[],[],[],[],284,47
#057,Drednaw,[],"['', '']",90,115,90,48,68,74,[],[],[],[],485,80
#058,Wooper,[],"['', '']",55,45,45,25,25,15,[],[],[],[],210,35
#059,Quagsire,[],"['', '']",95,85,85,65,65,35,[],[],[],[],430,71
#060,Goomy,[],[''],45,50,35,55,75,40,[],[],[],[],300,50
#061,Sliggoo,[],[''],68,75,53,83,113,60,[],[],[],[],452,75
#062,Goodra,[],[''],90,100,70,110,150,80,[],[],[],[],600,100
#063,Druddigon,[],[''],77,120,90,60,90,48,[],[],[],[],485,80
#064,Shelmet,[],[''],50,40,85,40,65,25,[],[],[],[],305,50
#065,Accelgor,[],[''],80,70,40,100,60,145,[],[],[],[],495,82
#066,Karrablast,[],[''],50,75,45,40,45,60,[],[],[],[],315,52
#067,Escavalier,[],"['', '']",70,135,105,60,105,20,[],[],[],[],495,82
#068,Bulbasaur,[],"['', '']",45,49,49,65,65,45,[],[],[],[],318,53
#069,Ivysaur,[],"['', '']",60,62,63,80,80,60,[],[],[],[],405,67
#070,Venusaur,[],"['', '']",80,82,83,100,100,80,[],[],[],[],525,87
#071,Squirtle,[],[''],44,48,65,50,64,43,[],[],[],[],314,52
#072,Wartortle,[],[''],59,63,80,65,80,58,[],[],[],[],405,67
#073,Blastoise,[],[''],79,83,100,85,105,78,[],[],[],[],530,88
#074,Venipede,[],"['', '']",30,45,59,30,39,57,[],[],[],[],260,43
#075,Whirlipede,[],"['', '']",40,55,99,40,79,47,[],[],[],[],360,60
#076,Scolipede,[],"['', '']",60,100,89,55,69,112,[],[],[],[],485,80
#077,Foongus,[],"['', '']",69,55,45,55,55,15,[],[],[],[],294,49
#078,Amoonguss,[],"['', '']",114,85,70,85,80,30,[],[],[],[],464,77
#079,Comfey,[],[''],51,52,90,82,110,100,[],[],[],[],485,80
#080,Tangela,[],[''],65,55,115,100,40,60,[],[],[],[],435,72
#081,Tangrowth,[],[''],100,100,125,110,50,50,[],[],[],[],535,89
#082,Croagunk,[],"['', '']",48,61,40,61,40,50,[],[],[],[],300,50
#083,Toxicroak,[],"['', '']",83,106,65,86,65,85,[],[],[],[],490,81
#084,Pichu,[],[''],20,40,15,35,35,60,[],[],[],[],205,34
#085,Pikachu,[],[''],35,55,40,50,50,90,[],[],[],[],320,53
#086,Raichu,[],[''],60,90,55,90,80,110,[],[],[],[],485,80
#087,Zorua,[],[''],40,65,40,80,40,65,[],[],[],[],330,55
#088,Zoroark,[],[''],60,105,60,120,60,105,[],[],[],[],510,85
#089,Oranguru,[],"['', '']",90,60,80,90,110,60,[],[],[],[],490,81
#090,Passimian,[],[''],100,120,90,40,60,80,[],[],[],[],490,81
#091,Corphish,[],[''],43,80,65,50,35,35,[],[],[],[],308,51
#092,Crawdaunt,[],"['', '']",63,120,85,90,55,55,[],[],[],[],468,78
#093,Cramorant,[],"['', '']",70,85,55,85,95,85,[],[],[],[],475,79
#094,Goldeen,[],[''],45,67,60,35,50,63,[],[],[],[],320,53
#095,Seaking,[],[''],80,92,65,65,80,68,[],[],[],[],450,75
#096,Arrokuda,[],[''],41,63,40,40,30,66,[],[],[],[],280,46
#097,Barraskewda,[],[''],61,123,60,60,50,136,[],[],[],[],490,81
#098,Staryu,[],[''],30,45,55,70,55,85,[],[],[],[],340,56
#099,Starmie,[],"['', '']",60,75,85,100,85,115,[],[],[],[],520,86
#100,Kubfu,[],[''],60,90,60,53,50,72,[],[],[],[],385,64
#101,Urshifu,[],"['', '']",100,130,100,63,60,97,[],[],[],[],550,91
#102,Emolga,[],"['', '']",55,75,60,75,60,103,[],[],[],[],428,71
#103,Dedenne,[],"['', '']",67,58,57,81,67,101,[],[],[],[],431,71
#104,Morpeko,[],"['', '']",58,95,58,70,58,97,[],[],[],[],436,72
#105,Magnemite,[],"['', '']",25,35,70,95,55,45,[],[],[],[],325,54
#106,Magneton,[],"['', '']",50,60,95,120,70,70,[],[],[],[],465,77
#107,Magnezone,[],"['', '']",70,70,115,130,90,60,[],[],[],[],535,89
#108,Inkay,[],"['', '']",53,54,53,37,46,45,[],[],[],[],288,48
#109,Malamar,[],"['', '']",86,92,88,68,75,73,[],[],[],[],482,80
#110,Wishiwashi,[],[''],45,20,20,25,25,40,[],[],[],[],175,29
#111,Carvanha,[],"['', '']",45,90,20,65,20,65,[],[],[],[],305,50
#112,Sharpedo,[],"['', '']",70,120,40,95,40,95,[],[],[],[],460,76
#113,Lillipup,[],[''],45,60,45,25,45,55,[],[],[],[],275,45
#114,Herdier,[],[''],65,80,65,35,65,60,[],[],[],[],370,61
#115,Stoutland,[],[''],85,110,90,45,90,80,[],[],[],[],500,83
#116,Tauros,[],[''],75,100,95,40,70,110,[],[],[],[],490,81
#117,Miltank,[],[''],95,80,105,40,70,100,[],[],[],[],490,81
#118,Scyther,[],"['', '']",70,110,80,55,80,105,[],[],[],[],500,83
#119,Scizor,[],"['', '']",70,130,100,55,80,65,[],[],[],[],500,83
#120,Pinsir,[],[''],65,125,100,55,70,85,[],[],[],[],500,83
#121,Heracross,[],"['', '']",80,125,75,40,95,85,[],[],[],[],500,83
#122,Dwebble,[],"['', '']",50,65,85,35,35,55,[],[],[],[],325,54
#123,Crustle,[],"['', '']",70,105,125,65,75,45,[],[],[],[],485,80
#124,Wimpod,[],"['', '']",25,35,40,20,30,80,[],[],[],[],230,38
#125,Golisopod,[],"['', '']",75,125,140,60,90,40,[],[],[],[],530,88
#126,Pincurchin,[],[''],48,101,95,91,85,15,[],[],[],[],435,72
#127,Mareanie,[],"['', '']",50,53,62,43,52,45,[],[],[],[],305,50
#128,Toxapex,[],"['', '']",50,63,152,53,142,35,[],[],[],[],495,82
#129,Clobbopus,[],[''],50,68,60,50,50,32,[],[],[],[],310,51
#130,Grapploct,[],[''],80,118,90,70,80,42,[],[],[],[],480,80
#131,Shellder,[],[''],30,65,100,45,25,40,[],[],[],[],305,50
#132,Cloyster,[],"['', '']",50,95,180,85,45,70,[],[],[],[],525,87
#133,Sandygast,[],"['', '']",55,55,80,70,45,15,[],[],[],[],320,53
#134,Palossand,[],"['', '']",85,75,110,100,75,35,[],[],[],[],480,80
#135,Drifloon,[],"['', '']",90,50,34,60,44,70,[],[],[],[],348,58
#136,Drifblim,[],"['', '']",150,80,44,90,54,80,[],[],[],[],498,83
