name,type,catagory,power,accuracy,pp,TM number,effect,effect probability
"10,000,000 Volt Thunderbolt",Electric,special,195,none,1,none,Pikachu-exclusive Z-Move. High critical hit ratio.,none
Absorb,Grass,special,20,100,25,none,User recovers half the HP inflicted on opponent.,none
Accelerock,Rock,physical,40,100,20,none,User attacks first.,none
Acid,Poison,special,40,100,30,none,May lower opponent's Special Defense.,10
Acid Armor,Poison,status,none,none,20,none,Sharply raises user's Defense.,none
Acid Downpour,Poison,none,none,none,1,none,Poison type Z-Move.,none
Acid Spray,Poison,special,40,100,20,none,Sharply lowers opponent's Special Defense.,100
Acrobatics,Flying,physical,55,100,15,TM78,Stronger when the user does not have a held item.,none
Acupressure,Normal,status,none,none,30,none,Sharply raises a random stat.,none
Aerial Ace,Flying,physical,60,∞,20,none,Ignores Accuracy and Evasiveness.,none
Aeroblast,Flying,special,100,95,5,none,High critical hit ratio.,none
After You,Normal,status,none,none,15,none,Gives target priority in the next turn.,none
Agility,Psychic,status,none,none,30,none,Sharply raises user's Speed.,none
Air Cutter,Flying,special,60,95,25,none,High critical hit ratio.,none
Air Slash,Flying,special,75,95,15,TM95,May cause flinching.,30
All-Out Pummeling,Fighting,none,none,none,1,none,Fighting type Z-Move.,none
Ally Switch,Psychic,status,none,none,15,none,User switches with opposite teammate.,none
Amnesia,Psychic,status,none,none,20,none,Sharply raises user's Special Defense.,none
Anchor Shot,Steel,physical,80,100,20,none,The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.,none
Ancient Power,Rock,special,60,100,5,none,May raise all user's stats at once.,10
Apple Acid,Grass,special,80,100,10,none,Lowers target's Special Defense.,100
Aqua Jet,Water,physical,40,100,20,none,User attacks first.,none
Aqua Ring,Water,status,none,none,20,none,Restores a little HP each turn.,none
Aqua Tail,Water,physical,90,90,10,none,none,none
Arm Thrust,Fighting,physical,15,100,20,none,Hits 2-5 times in one turn.,none
Aromatherapy,Grass,status,none,none,5,none,Cures all status problems in your party.,none
Aromatic Mist,Fairy,status,none,none,20,none,Raises Special Defense of an ally.,none
Assist,Normal,status,none,none,20,none,User performs a move known by its allies at random.,none
